
Table 1 : anger Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without LE    0.802  0.715  0.887  |  0.0868   0.0001  
Full model    Without LE    0.806  0.712  0.892  |  0.0936   0.0001  
Full model    Without LE    0.803  0.715  0.899  |  0.0879   0.0001  
Full model    Without LE    0.799  0.702  0.885  |  0.0966   0.0001  
Full model    Without LE    0.800  0.713  0.888  |  0.0870   0.0001  
Full model    Without LE    0.805  0.712  0.888  |  0.0927   0.0001  
Full model    Without LE    0.802  0.704  0.893  |  0.0988   0.0001  
Full model    Without LE    0.797  0.691  0.878  |  0.1066   0.0001  
Full model    Without LE    0.800  0.713  0.891  |  0.0871   0.0001  
Full model    Without LE    0.804  0.710  0.891  |  0.0936   0.0001  
Full model    Without LE    0.800  0.710  0.892  |  0.0904   0.0001  
Full model    Without LE    0.804  0.720  0.894  |  0.0842   0.0001  
Full model    Without LE    0.803  0.705  0.884  |  0.0975   0.0001  
Full model    Without LE    0.804  0.711  0.888  |  0.0927   0.0001  
Full model    Without LE    0.799  0.712  0.895  |  0.0877   0.0001  
Full model    Without LE    0.798  0.708  0.891  |  0.0903   0.0001  
Full model    Without LE    0.806  0.715  0.895  |  0.0908   0.0001  
Full model    Without LE    0.805  0.707  0.890  |  0.0977   0.0001  
Without FC    Without CNN   0.796  0.789  0.966  |  0.0072   0.1983  
Without FC    Without CNN   0.804  0.787  0.965  |  0.0171   0.0020  
Without FC    Without CNN   0.801  0.789  0.963  |  0.0119   0.0607  
Without FC    Without CNN   0.800  0.794  0.963  |  0.0061   0.3341  
Without FC    Without CNN   0.802  0.795  0.966  |  0.0067   0.2187  
Without FC    Without CNN   0.802  0.791  0.968  |  0.0109   0.0537  
Without FC    Without CNN   0.800  0.791  0.965  |  0.0089   0.1265  
Without FC    Without CNN   0.801  0.793  0.967  |  0.0085   0.1199  
Without FC    Without CNN   0.802  0.791  0.962  |  0.0109   0.0654  
Without FC    Without CNN   0.799  0.787  0.963  |  0.0118   0.0453  
Without FC    Without CNN   0.802  0.792  0.968  |  0.0104   0.0514  
Without FC    Without CNN   0.806  0.792  0.963  |  0.0142   0.0096  
Without FC    Without CNN   0.801  0.791  0.967  |  0.0097   0.0883  
Without FC    Without CNN   0.804  0.795  0.968  |  0.0091   0.0842  
Without FC    Without CNN   0.806  0.796  0.966  |  0.0102   0.0521  
Without FC    Without CNN   0.805  0.795  0.961  |  0.0098   0.1225  
Without FC    Without CNN   0.799  0.781  0.965  |  0.0174   0.0034  
Without FC    Without CNN   0.803  0.792  0.966  |  0.0113   0.0527  
Without FC    Without CNN   0.803  0.794  0.966  |  0.0091   0.1275  
Without FC    Without CNN   0.804  0.792  0.968  |  0.0121   0.0304  
Without FC    Without LE    0.796  0.704  0.890  |  0.0920   0.0001  
Without FC    Without LE    0.804  0.710  0.887  |  0.0937   0.0001  
Without FC    Without LE    0.801  0.715  0.893  |  0.0854   0.0001  
Without FC    Without LE    0.800  0.712  0.891  |  0.0882   0.0001  
Without FC    Without LE    0.802  0.715  0.896  |  0.0872   0.0001  
Without FC    Without LE    0.802  0.702  0.883  |  0.0992   0.0001  
Without FC    Without LE    0.800  0.713  0.895  |  0.0868   0.0001  
Without FC    Without LE    0.801  0.712  0.887  |  0.0893   0.0001  
Without FC    Without LE    0.802  0.704  0.888  |  0.0983   0.0001  
Without FC    Without LE    0.799  0.691  0.883  |  0.1083   0.0001  
Without FC    Without LE    0.802  0.713  0.891  |  0.0895   0.0001  
Without FC    Without LE    0.806  0.710  0.893  |  0.0962   0.0001  
Without FC    Without LE    0.801  0.710  0.893  |  0.0908   0.0001  
Without FC    Without LE    0.804  0.720  0.895  |  0.0841   0.0001  
Without FC    Without LE    0.806  0.705  0.887  |  0.1004   0.0001  
Without FC    Without LE    0.805  0.711  0.885  |  0.0938   0.0001  
Without FC    Without LE    0.799  0.712  0.893  |  0.0868   0.0001  
Without FC    Without LE    0.803  0.708  0.887  |  0.0953   0.0001  
Without FC    Without LE    0.803  0.715  0.894  |  0.0879   0.0001  
Without FC    Without LE    0.804  0.707  0.890  |  0.0964   0.0001  
Without CNN   Without LE    0.789  0.704  0.819  |  0.0848   0.0001  
Without CNN   Without LE    0.787  0.710  0.811  |  0.0766   0.0001  
Without CNN   Without LE    0.789  0.715  0.816  |  0.0735   0.0001  
Without CNN   Without LE    0.794  0.712  0.817  |  0.0820   0.0001  
Without CNN   Without LE    0.795  0.715  0.825  |  0.0805   0.0001  
Without CNN   Without LE    0.791  0.702  0.809  |  0.0883   0.0001  
Without CNN   Without LE    0.791  0.713  0.817  |  0.0779   0.0001  
Without CNN   Without LE    0.793  0.712  0.815  |  0.0807   0.0001  
Without CNN   Without LE    0.791  0.704  0.812  |  0.0873   0.0001  
Without CNN   Without LE    0.787  0.691  0.801  |  0.0965   0.0001  
Without CNN   Without LE    0.792  0.713  0.820  |  0.0790   0.0001  
Without CNN   Without LE    0.792  0.710  0.811  |  0.0820   0.0001  
Without CNN   Without LE    0.791  0.710  0.821  |  0.0811   0.0001  
Without CNN   Without LE    0.795  0.720  0.828  |  0.0750   0.0001  
Without CNN   Without LE    0.796  0.705  0.811  |  0.0902   0.0001  
Without CNN   Without LE    0.795  0.711  0.806  |  0.0840   0.0001  
Without CNN   Without LE    0.781  0.712  0.812  |  0.0694   0.0001  
Without CNN   Without LE    0.792  0.708  0.813  |  0.0840   0.0001  
Without CNN   Without LE    0.794  0.715  0.819  |  0.0788   0.0001  
Without CNN   Without LE    0.792  0.707  0.813  |  0.0843   0.0001  

Table 4 : sadness Niter = 10000 Alpha = 0.050000 
Cond1         Cond2         Corr1  Corr2  Corr12 |    diff   p_value
Full model    Without FC    0.766  0.764  0.994  |  0.0025   0.4146  
Full model    Without FC    0.762  0.759  0.993  |  0.0027   0.3412  
Full model    Without FC    0.763  0.761  0.994  |  0.0016   0.5670  
Full model    Without FC    0.764  0.765  0.994  | -0.0013   0.6039  
Full model    Without FC    0.762  0.767  0.992  | -0.0044   0.1089  
Full model    Without FC    0.771  0.768  0.994  |  0.0024   0.3484  
Full model    Without FC    0.767  0.762  0.993  |  0.0052   0.1177  
Full model    Without FC    0.772  0.766  0.994  |  0.0059   0.0153  
Full model    Without FC    0.763  0.765  0.994  | -0.0021   0.4346  
Full model    Without FC    0.765  0.764  0.993  |  0.0003   0.9227  
Full model    Without FC    0.770  0.770  0.993  |  0.0000   0.9904  
Full model    Without FC    0.766  0.763  0.993  |  0.0027   0.3184  
